index,date,high,low,open,close,adjust,volume
2214,2018-05-15,102.6,97.0,97.0,102.0,96.52,245240
2215,2018-05-16,100.7,96.1,100.0,98.3,93.02,170840
2216,2018-05-17,102.0,93.9,102.0,93.9,88.86,136410
2217,2018-05-18,97.0,90.9,95.0,97.0,91.79,174980
2218,2018-05-21,97.0,90.3,94.0,90.3,85.45,260300
2219,2018-05-22,90.3,84.0,85.5,84.0,79.49,194180
2220,2018-05-23,87.0,84.0,84.0,87.0,82.33,213130
2221,2018-05-24,90.0,85.0,87.5,86.0,81.38,315600
2222,2018-05-25,88.3,85.5,88.0,86.0,81.38,216540
2223,2018-05-28,87.0,81.2,86.0,82.0,77.6,180550
2224,2018-05-29,85.2,81.0,83.0,83.4,78.92,136660
2225,2018-05-30,86.0,83.4,86.0,84.9,80.34,97520
2226,2018-05-31,88.5,84.0,84.0,86.5,81.86,129490
2227,2018-06-01,90.9,86.0,86.5,90.7,85.83,119650
2228,2018-06-04,95.0,90.7,90.7,94.9,89.81,138670
2229,2018-06-05,95.3,93.1,94.9,94.9,89.81,167290
2230,2018-06-06,96.0,93.0,93.0,95.1,89.99,64750
2231,2018-06-07,96.0,94.5,96.0,95.9,90.75,144280
2232,2018-06-08,96.1,94.0,94.3,95.9,90.75,151200
2233,2018-06-11,96.2,94.5,95.8,95.9,90.75,129690
2234,2018-06-12,96.1,90.0,94.5,93.4,88.39,107080
2235,2018-06-13,94.0,91.5,93.3,92.5,87.53,51520
2236,2018-06-14,93.5,87.0,92.4,87.0,82.33,161270
2237,2018-06-15,90.0,85.5,87.0,85.5,80.91,266020
2238,2018-06-18,88.0,85.7,86.8,86.0,81.38,113900
2239,2018-06-19,86.0,80.0,85.0,82.0,77.6,368890
2240,2018-06-20,84.9,80.0,82.5,83.0,78.54,167530
2241,2018-06-21,84.0,81.0,83.0,81.0,76.65,279010
2242,2018-06-22,85.0,79.1,79.1,85.0,80.44,97890
2243,2018-06-25,88.7,85.2,88.7,86.7,82.05,51420
2244,2018-06-26,86.0,82.1,86.0,84.0,79.49,56020
2245,2018-06-27,85.5,82.5,85.2,83.3,78.83,58030
2246,2018-06-28,83.9,81.7,83.3,81.7,77.31,65050
2247,2018-06-29,82.5,79.5,79.5,81.3,76.94,61050
2248,2018-07-02,82.9,76.0,79.2,77.0,72.87,128870
2249,2018-07-03,78.1,73.5,77.9,73.5,69.55,122740
2250,2018-07-04,73.6,70.5,73.5,71.0,67.19,246150
2251,2018-07-05,72.0,70.0,70.1,70.2,66.43,103070
2252,2018-07-06,75.1,70.3,70.3,75.0,70.97,111800
2253,2018-07-09,77.0,74.0,74.0,74.2,70.22,45850
2254,2018-07-10,75.9,72.0,74.3,72.0,68.13,94660
2255,2018-07-11,73.5,70.6,71.5,71.5,67.66,150480
2256,2018-07-12,73.0,69.0,72.5,72.5,68.61,170830
2257,2018-07-13,74.8,72.1,72.8,74.3,70.31,91850
2258,2018-07-16,76.0,73.5,75.5,75.6,71.54,84450
2259,2018-07-17,75.0,72.5,75.0,73.0,69.08,133930
2260,2018-07-18,74.2,72.5,73.0,73.9,69.93,133560
2261,2018-07-19,78.0,73.6,73.6,75.5,71.45,211380
2262,2018-07-20,77.0,71.0,76.5,71.0,67.19,374000
2263,2018-07-23,75.0,73.0,73.7,73.7,69.74,115550
2264,2018-07-24,74.9,73.2,73.6,74.0,70.03,94220
2265,2018-07-25,75.8,73.5,74.0,75.0,70.97,212940
2266,2018-07-26,75.0,73.5,74.9,74.0,70.03,70180
2267,2018-07-27,75.0,73.3,75.0,73.9,69.93,47650
